سال_شمسی,سال_میلادی,شرکت,مدل,نوع_سوخت,مصرف_سوخت_ترکیبی,شتاب_0_100,نوع_گیربکس,حجم_باک,استاندارد_آلایندگی,امتیاز_تقریبی,وضعیت_تولید,تیپ_های_اصلی,توضیحات
1399,2020,ایران خودرو,سمند,بنزین / دوگانه‌سوز,7.5,11.5,5 سرعته دستی,60-70,یورو 5,5.8,تولید,سورن پلاس,موتور XU7P / EF7
1400,2021,ایران خودرو,سمند,بنزین / دوگانه‌سوز,7.5,11.5,5 سرعته دستی,60-70,یورو 5,5.8,تولید,سورن پلاس,موتور XU7P / EF7
1401,2022,ایران خودرو,سمند,بنزین / دوگانه‌سوز,7.5,11.5,5 سرعته دستی,60-70,یورو 5,5.8,پایان تولید اصلی,سورن پلاس,تولید سمند معمولی متوقف شد
1402,2023,ایران خودرو,سورن پلاس,بنزین / دوگانه‌سوز,7.5,11.5,5 سرعته دستی,60-100,یورو 5,6.0,تولید,XU7P / EF7 دوگانه‌سوز,ادامه به عنوان سورن پلاس
1403,2024,ایران خودرو,سورن پلاس,بنزین / دوگانه‌سوز,7.5,11.5,5 سرعته دستی,60-100,یورو 5,6.0,تولید,XU7P / EF7 دوگانه‌سوز,
1404,2025,ایران خودرو,سورن پلاس,بنزین / دوگانه‌سوز,7.5,11.5,5 سرعته دستی,60-100,یورو 5,6.0,تولید,XU7P / EF7 دوگانه‌سوز,
1405,2026,ایران خودرو,سورن پلاس,بنزین / دوگانه‌سوز,7.5,11.5,5 سرعته دستی,60-100,یورو 5,6.0,تولید,XU7P / EF7 دوگانه‌سوز,
1380,2001,ایران خودرو,پژو 206,بنزین,6.5,10.5,5 سرعته دستی,50,یورو 2,6.0,شروع تولید,تیپ 2,موتور TU3
1381,2002,ایران خودرو,پژو 206,بنزین,6.5,10.0,5 سرعته دستی,50,یورو 2,6.2,تولید,تیپ 2/3,موتور TU3
1382,2003,ایران خودرو,پژو 206,بنزین,6.4,9.8,5 سرعته دستی,50,یورو 3,6.5,تولید,تیپ 2/3/5,معرفی تیپ 5 با TU5
1383,2004,ایران خودرو,پژو 206,بنزین,6.4,9.6,5 سرعته دستی,50,یورو 3,6.5,تولید,تیپ 2/3/5,موتور TU5
1384,2005,ایران خودرو,پژو 206,بنزین,6.4,9.6,5 سرعته دستی,50,یورو 3,6.5,تولید,تیپ 2/3/5 / SD,معرفی صندوقدار
1385,2006,ایران خودرو,پژو 206,بنزین,6.4,9.6,5 سرعته دستی,50,یورو 3,6.5,تولید,تیپ 2/3/5 / SD,موتور TU5
1386,2007,ایران خودرو,پژو 206,بنزین,6.4,9.6,5 سرعته دستی,50,یورو 4,6.5,تولید,تیپ 2/3/5 / SD,موتور TU5
1387,2008,ایران خودرو,پژو 206,بنزین,6.4,9.6,5 سرعته دستی,50,یورو 4,6.5,تولید,تیپ 2/3/5 / SD,موتور TU5
1388,2009,ایران خودرو,پژو 206,بنزین,6.4,9.6,5 سرعته دستی,50,یورو 4,6.5,تولید,تیپ 2/3/5 / SD,موتور TU5
1389,2010,ایران خودرو,پژو 206,بنزین,6.4,9.6,5 سرعته دستی,50,یورو 4,6.5,تولید,تیپ 2/3/5 / SD,موتور TU5
1390,2011,ایران خودرو,پژو 206,بنزین,6.4,9.6,5 سرعته دستی,50,یورو 4,6.5,تولید,تیپ 2/3/5 / SD,موتور TU5
1391,2012,ایران خودرو,پژو 206,بنزین,6.4,9.6,5 سرعته دستی,50,یورو 4,6.5,تولید,تیپ 2/3/5 / SD,موتور TU5
1392,2013,ایران خودرو,پژو 206,بنزین,6.4,9.6,5 سرعته دستی,50,یورو 4,6.5,تولید,تیپ 2/3/5 / SD,موتور TU5
1393,2014,ایران خودرو,پژو 206,بنزین,6.4,9.6,5 سرعته دستی,50,یورو 4,6.5,تولید,تیپ 2/3/5 / SD,موتور TU5
1394,2015,ایران خودرو,پژو 206,بنزین,6.4,9.6,5 سرعته دستی,50,یورو 4,6.5,تولید,تیپ 2/3/5 / SD,موتور TU5
1395,2016,ایران خودرو,پژو 206,بنزین,6.4,9.6,5 سرعته دستی,50,یورو 4,6.5,تولید,تیپ 2/3/5 / SD,موتور TU5
1396,2017,ایران خودرو,پژو 206,بنزین,6.4,9.6,5 سرعته دستی,50,یورو 4,6.5,تولید,تیپ 2/3/5 / SD,موتور TU5
1397,2018,ایران خودرو,پژو 206,بنزین,6.4,9.6,5 سرعته دستی,50,یورو 4,6.5,تولید,تیپ 2/3/5 / SD,موتور TU5
1398,2019,ایران خودرو,پژو 206,بنزین,6.4,9.6,5 سرعته دستی,50,یورو 4,6.5,تولید,تیپ 2/3/5 / SD,موتور TU5
1399,2020,ایران خودرو,پژو 206,بنزین,6.4,9.6,5 سرعته دستی,50,یورو 4,6.5,تولید,تیپ 2/3/5 / SD,موتور TU5
1400,2021,ایران خودرو,پژو 206,بنزین,6.4,9.6,5 سرعته دستی,50,یورو 4,6.5,تولید,تیپ 2/3/5 / SD,موتور TU5
1401,2022,ایران خودرو,پژو 206,بنزین,6.4,9.6,5 سرعته دستی,50,یورو 4,6.5,پایان تولید,تیپ 2/3/5 / SD,تولید متوقف شد
1380,2001,ایران خودرو,پژو پارس,بنزین,8.0,12.0,5 سرعته دستی,70,یورو 2,5.0,تولید,پارس,موتور XU7
1381,2002,ایران خودرو,پژو پارس,بنزین,8.0,12.0,5 سرعته دستی,70,یورو 2,5.0,تولید,پارس,موتور XU7
1382,2003,ایران خودرو,پژو پارس,بنزین,8.0,12.0,5 سرعته دستی,70,یورو 3,5.2,تولید,پارس,موتور XU7
1383,2004,ایران خودرو,پژو پارس,بنزین,8.0,12.0,5 سرعته دستی,70,یورو 3,5.2,تولید,پارس,موتور XU7
1384,2005,ایران خودرو,پژو پارس,بنزین,7.8,11.8,5 سرعته دستی,70,یورو 3,5.5,تولید,LX / ELX,موتور TU5 / XU7
1385,2006,ایران خودرو,پژو پارس,بنزین,7.8,11.8,5 سرعته دستی,70,یورو 3,5.5,تولید,LX / ELX,موتور TU5 / XU7
1386,2007,ایران خودرو,پژو پارس,بنزین / دوگانه‌سوز,7.5,11.5,5 سرعته دستی,70,یورو 4,5.5,تولید,LX / ELX,موتور TU5 / XU7
1387,2008,ایران خودرو,پژو پارس,بنزین / دوگانه‌سوز,7.5,11.5,5 سرعته دستی,70,یورو 4,5.5,تولید,LX / ELX,موتور TU5 / XU7
1388,2009,ایران خودرو,پژو پارس,بنزین / دوگانه‌سوز,7.5,11.5,5 سرعته دستی,70,یورو 4,5.5,تولید,LX / ELX,موتور TU5 / XU7
1389,2010,ایران خودرو,پژو پارس,بنزین / دوگانه‌سوز,7.5,11.5,5 سرعته دستی,70,یورو 4,5.5,تولید,LX / ELX,موتور TU5 / XU7
1390,2011,ایران خودرو,پژو پارس,بنزین / دوگانه‌سوز,7.5,11.5,5 سرعته دستی,70,یورو 4,5.5,تولید,LX / ELX,موتور TU5 / XU7
1391,2012,ایران خودرو,پژو پارس,بنزین / دوگانه‌سوز,7.5,11.5,5 سرعته دستی,70,یورو 4,5.5,تولید,LX / ELX,موتور TU5 / XU7
1392,2013,ایران خودرو,پژو پارس,بنزین / دوگانه‌سوز,7.5,11.5,5 سرعته دستی,70,یورو 4,5.5,تولید,LX / ELX,موتور TU5 / XU7
1393,2014,ایران خودرو,پژو پارس,بنزین / دوگانه‌سوز,7.5,11.5,5 سرعته دستی,70,یورو 4,5.5,تولید,LX / ELX,موتور TU5 / XU7
1394,2015,ایران خودرو,پژو پارس,بنزین / دوگانه‌سوز,7.5,11.5,5 سرعته دستی,70,یورو 4,5.5,تولید,LX / ELX,موتور TU5 / XU7
1395,2016,ایران خودرو,پژو پارس,بنزین / دوگانه‌سوز,7.5,11.5,5 سرعته دستی,70,یورو 4,5.5,تولید,LX / ELX,موتور TU5 / XU7
1396,2017,ایران خودرو,پژو پارس,بنزین / دوگانه‌سوز,7.5,11.5,5 سرعته دستی,70,یورو 4,5.5,تولید,LX / ELX,موتور TU5 / XU7
1397,2018,ایران خودرو,پژو پارس,بنزین / دوگانه‌سوز,7.5,11.5,5 سرعته دستی,70,یورو 4,5.5,تولید,LX / ELX,موتور TU5 / XU7
1398,2019,ایران خودرو,پژو پارس,بنزین / دوگانه‌سوز,7.5,11.5,5 سرعته دستی,70,یورو 5,5.5,تولید,LX / ELX,موتور TU5 / XU7P
1399,2020,ایران خودرو,پژو پارس,بنزین / دوگانه‌سوز,7.5,11.5,5 سرعته دستی,70,یورو 5,5.5,تولید,LX / ELX,موتور TU5 / XU7P
1400,2021,ایران خودرو,پژو پارس,بنزین / دوگانه‌سوز,7.5,11.5,5 سرعته دستی,70,یورو 5,5.5,تولید,LX / ELX,موتور TU5 / XU7P
1401,2022,ایران خودرو,پژو پارس,بنزین / دوگانه‌سوز,7.5,11.5,5 سرعته دستی,70,یورو 5,5.5,تولید,LX / ELX,موتور TU5 / XU7P
1402,2023,ایران خودرو,پژو پارس,بنزین / دوگانه‌سوز,7.5,11.5,5 سرعته دستی,70,یورو 5,5.5,تولید,LX / ELX,موتور TU5 / XU7P
1403,2024,ایران خودرو,پژو پارس,بنزین / دوگانه‌سوز,7.5,11.5,5 سرعته دستی,70,یورو 5,5.5,پایان تولید تقریبی,LX / ELX,تولید محدود شد
1396,2017,ایران خودرو,پژو 207,بنزین,6.5,10.5,5 سرعته دستی,50,یورو 5,7.0,شروع تولید,دستی TU5,فیس‌لیفت ۲۰۶
1397,2018,ایران خودرو,پژو 207,بنزین,6.5,10.5,5 سرعته دستی,50,یورو 5,7.0,تولید,دستی TU5,موتور TU5
1398,2019,ایران خودرو,پژو 207,بنزین,6.5,10.5,5 سرعته دستی,50,یورو 5,7.0,تولید,دستی TU5,موتور TU5
1399,2020,ایران خودرو,پژو 207,بنزین,6.5-7.0,10.0-12.0,5 سرعته دستی / اتوماتیک,50,یورو 5,7.0,تولید,دستی / اتوماتیک,معرفی اتوماتیک
1400,2021,ایران خودرو,پژو 207,بنزین,6.5-7.4,9.6-12.6,5/6 سرعته دستی / اتوماتیک,50,یورو 5,7.2,تولید,دستی TU5P / اتوماتیک / پانوراما,موتور TU5P
1401,2022,ایران خودرو,پژو 207,بنزین,6.5-7.4,9.6-12.6,5/6 سرعته دستی / اتوماتیک,50,یورو 5,7.2,تولید,دستی TU5P / اتوماتیک / پانوراما,موتور TU5P
1402,2023,ایران خودرو,پژو 207,بنزین,6.5-7.4,9.6-12.6,5/6 سرعته دستی / اتوماتیک,50,یورو 5,7.2,تولید,دستی TU5P / اتوماتیک / پانوراما,موتور TU5P
1403,2024,ایران خودرو,پژو 207,بنزین,6.5-7.4,9.6-12.6,5/6 سرعته دستی / اتوماتیک,50,یورو 5,7.2,تولید,دستی TU5P / اتوماتیک / پانوراما,موتور TU5P
1404,2025,ایران خودرو,پژو 207,بنزین,6.5-7.4,9.6-12.6,5/6 سرعته دستی / اتوماتیک,50,یورو 5,7.2,تولید,دستی TU5P / اتوماتیک / پانوراما,موتور TU5P
1405,2026,ایران خودرو,پژو 207,بنزین,6.5-7.4,9.6-12.6,5/6 سرعته دستی / اتوماتیک,50,یورو 5,7.2,تولید,دستی TU5P / اتوماتیک / پانوراما,موتور TU5P
1390,2011,ایران خودرو,دنا,بنزین,7.8,12.0,5 سرعته دستی,60,یورو 4,6.5,شروع تولید,دنا,موتور EF7
1391,2012,ایران خودرو,دنا,بنزین,7.8,12.0,5 سرعته دستی,60,یورو 4,6.5,تولید,دنا,موتور EF7
1392,2013,ایران خودرو,دنا,بنزین,7.8,12.0,5 سرعته دستی,60,یورو 4,6.5,تولید,دنا,موتور EF7
1393,2014,ایران خودرو,دنا,بنزین,7.8,12.0,5 سرعته دستی,60,یورو 4,6.5,تولید,دنا,موتور EF7
1394,2015,ایران خودرو,دنا,بنزین,7.5,11.5,5 سرعته دستی,60,یورو 4,6.8,تولید,دنا / دنا پلاس,معرفی دنا پلاس
1395,2016,ایران خودرو,دنا,بنزین,7.5,11.5,5 سرعته دستی,60,یورو 5,7.0,تولید,دنا پلاس,موتور EF7
1396,2017,ایران خودرو,دنا,بنزین,7.5-7.9,11.0,5 سرعته دستی,60,یورو 5,7.0,تولید,دنا پلاس / توربو,معرفی توربو
1397,2018,ایران خودرو,دنا,بنزین,7.5-7.9,11.0,5 سرعته دستی / اتوماتیک,60,یورو 5,7.2,تولید,دنا پلاس توربو,موتور EF7 توربو
1398,2019,ایران خودرو,دنا,بنزین,7.5-7.9,11.0,5 سرعته دستی / اتوماتیک,60,یورو 5,7.2,تولید,دنا پلاس توربو,موتور EF7 توربو
1399,2020,ایران خودرو,دنا,بنزین,7.5-7.9,11.0,5 سرعته دستی / اتوماتیک,60,یورو 5,7.2,تولید,دنا پلاس توربو,موتور EF7 توربو
1400,2021,ایران خودرو,دنا,بنزین,7.0-7.9,11.0-12.0,5/6 سرعته دستی / اتوماتیک,60,یورو 5,7.3,تولید,دنا پلاس EF7P / توربو,موتور EF7P
1401,2022,ایران خودرو,دنا,بنزین,7.0-7.9,11.0-12.0,5/6 سرعته دستی / اتوماتیک,60,یورو 5,7.3,تولید,دنا پلاس EF7P / توربو,موتور EF7P
1402,2023,ایران خودرو,دنا,بنزین,7.0-7.9,11.0-12.0,5/6 سرعته دستی / اتوماتیک,60,یورو 5,7.3,تولید,دنا پلاس EF7P / توربو,موتور EF7P
1403,2024,ایران خودرو,دنا,بنزین,7.0-7.9,11.0-12.0,5/6 سرعته دستی / اتوماتیک,60,یورو 5,7.3,تولید,دنا پلاس EF7P / توربو,موتور EF7P
1404,2025,ایران خودرو,دنا,بنزین,7.0-7.9,11.0-12.0,5/6 سرعته دستی / اتوماتیک,60,یورو 5,7.3,تولید,دنا پلاس EF7P / توربو,موتور EF7P
1405,2026,ایران خودرو,دنا,بنزین,7.0-7.9,11.0-12.0,5/6 سرعته دستی / اتوماتیک,60,یورو 5,7.3,تولید,دنا پلاس EF7P / توربو,موتور EF7P
1400,2021,ایران خودرو,تارا,بنزین,7.0,12.0,5 سرعته دستی,50,یورو 5,7.5,شروع تولید,دستی V1,موتور TU5
1401,2022,ایران خودرو,تارا,بنزین,7.0,12.0,5/6 سرعته دستی / اتوماتیک,50,یورو 5,7.5,تولید,دستی V1P / اتوماتیک V4,موتور TU5P
1402,2023,ایران خودرو,تارا,بنزین,7.0-7.5,11.5-12.5,5/6 سرعته دستی / اتوماتیک,50,یورو 5,7.5,تولید,دستی V1P / اتوماتیک V4,موتور TU5P
1403,2024,ایران خودرو,تارا,بنزین,7.0-7.5,11.5-12.5,5/6 سرعته دستی / اتوماتیک,50,یورو 5/6,7.5,تولید,دستی V1P / اتوماتیک V4 / توربو,موتور TU5P / EF7P
1404,2025,ایران خودرو,تارا,بنزین,7.0-7.5,11.5-12.5,5/6 سرعته دستی / اتوماتیک,50,یورو 5/6,7.5,تولید,دستی V1P / اتوماتیک V4 / توربو,موتور TU5P / EF7P
1405,2026,ایران خودرو,تارا,بنزین,7.0-7.5,11.5-12.5,5/6 سرعته دستی / اتوماتیک,50,یورو 5/6,7.5,تولید,دستی V1P / اتوماتیک V4 / توربو,موتور TU5P / EF7P
1403,2024,ایران خودرو,ریرا,بنزین,7.4,10.4,6 سرعته اتوماتیک,50,یورو 6,8.0,شروع تولید,اتوماتیک توربو,موتور EFP 160 اسب
1404,2025,ایران خودرو,ریرا,بنزین,7.4,10.4,6 سرعته اتوماتیک,50,یورو 6,8.0,تولید,اتوماتیک توربو,موتور EFP 160 اسب
1405,2026,ایران خودرو,ریرا,بنزین,7.4,10.4,6 سرعته اتوماتیک,50,یورو 6,8.0,تولید,اتوماتیک توربو,موتور EFP 160 اسب
1372,1993,سایپا,پراید,بنزین,6.5,14.5,5 سرعته دستی,40,یورو 1,4.0,تولید,صبا / نسیم,موتور M13
1380,2001,سایپا,پراید,بنزین,6.5,14.5,5 سرعته دستی,40,یورو 2,4.0,تولید,111 / 131 / 132,موتور M13
1385,2006,سایپا,پراید,بنزین,6.5,14.5,5 سرعته دستی,40,یورو 2,4.0,تولید,111 / 131 / 132,موتور M13
1390,2011,سایپا,پراید,بنزین,6.5,14.5,5 سرعته دستی,40,یورو 4,4.0,تولید,111 / 131 / 132,موتور M13
1395,2016,سایپا,پراید,بنزین,6.5,14.5,5 سرعته دستی,40,یورو 4,4.0,تولید,111 / 131 / 132,موتور M13
1399,2020,سایپا,پراید,بنزین,6.5,14.5,5 سرعته دستی,40,یورو 4,4.0,پایان تولید,111 / 131 / 132,تولید متوقف شد
1388,2009,سایپا,تیبا,بنزین,7.0,13.5,5 سرعته دستی,41,یورو 4,5.0,شروع تولید,صندوقدار,موتور M15
1390,2011,سایپا,تیبا,بنزین,7.0,13.5,5 سرعته دستی,41,یورو 4,5.0,تولید,صندوقدار / هاچ‌بک,موتور M15
1395,2016,سایپا,تیبا,بنزین,7.0,13.5,5 سرعته دستی,41,یورو 4,5.0,تولید,تیبا 2,موتور M15
1399,2020,سایپا,تیبا,بنزین,7.0,13.5,5 سرعته دستی,41,یورو 4,5.0,پایان تولید,تیبا 2,تولید متوقف شد
1395,2016,سایپا,ساینا,بنزین,7.0,13.5,5 سرعته دستی,41,یورو 5,5.5,شروع تولید,S,موتور M15
1396,2017,سایپا,ساینا,بنزین,7.0,13.5,5 سرعته دستی,41,یورو 5,5.5,تولید,S,موتور M15
1397,2018,سایپا,ساینا,بنزین,7.0,13.5,5 سرعته دستی,41,یورو 5,5.5,تولید,S,موتور M15
1398,2019,سایپا,ساینا,بنزین,7.0,13.5,5 سرعته دستی,41,یورو 5,5.5,تولید,S,موتور M15
1399,2020,سایپا,ساینا,بنزین,7.0,13.5,5 سرعته دستی / CVT,41,یورو 5,5.5,تولید,S / GX,موتور M15
1400,2021,سایپا,ساینا,بنزین,7.0,13.5,5 سرعته دستی / CVT,41,یورو 5,5.5,تولید,S / GX,موتور M15
1401,2022,سایپا,ساینا,بنزین,7.0,13.5,5 سرعته دستی / CVT,41,یورو 5,5.5,تولید,S / GX,موتور M15
1402,2023,سایپا,ساینا,بنزین,7.0,13.5,5 سرعته دستی / CVT,41,یورو 5,5.5,تولید,S / GX,موتور M15
1403,2024,سایپا,ساینا,بنزین,7.0,13.5,5 سرعته دستی / CVT,41,یورو 5,5.5,تولید,S / GX,موتور M15
1404,2025,سایپا,ساینا,بنزین,7.0,13.5,5 سرعته دستی / CVT,41,یورو 5,5.5,تولید,S / GX,موتور M15
1405,2026,سایپا,ساینا,بنزین,7.0,13.5,5 سرعته دستی / CVT,41,یورو 5,5.5,تولید,S / GX,موتور M15
1396,2017,سایپا,کوییک,بنزین,7.0,13.1,5 سرعته دستی,41,یورو 5,5.5,شروع تولید,S / R,موتور M15
1397,2018,سایپا,کوییک,بنزین,7.0,13.1,5 سرعته دستی,41,یورو 5,5.5,تولید,S / R,موتور M15
1398,2019,سایپا,کوییک,بنزین,7.0,13.1,5 سرعته دستی,41,یورو 5,5.5,تولید,S / R,موتور M15
1399,2020,سایپا,کوییک,بنزین,7.0,13.1,5 سرعته دستی / CVT,41,یورو 5,5.5,تولید,S / R / GX,موتور M15
1400,2021,سایپا,کوییک,بنزین,7.0,13.1,5 سرعته دستی / CVT,41,یورو 5,5.5,تولید,S / R / GX,موتور M15
1401,2022,سایپا,کوییک,بنزین,7.0,13.1,5 سرعته دستی / CVT,41,یورو 5,5.5,تولید,S / R / GX,موتور M15
1402,2023,سایپا,کوییک,بنزین,7.0,13.1,5 سرعته دستی / CVT,41,یورو 5,5.5,تولید,S / R / GX,موتور M15
1403,2024,سایپا,کوییک,بنزین,7.0,13.1,5 سرعته دستی / CVT,41,یورو 5,5.5,تولید,S / R / GX,موتور M15
1404,2025,سایپا,کوییک,بنزین,7.0,13.1,5 سرعته دستی / CVT,41,یورو 5,5.5,تولید,S / R / GX,موتور M15
1405,2026,سایپا,کوییک,بنزین,7.0,13.1,5 سرعته دستی / CVT,41,یورو 5,5.5,تولید,S / R / GX,موتور M15
1399,2020,سایپا,شاهین,بنزین,7.2,13.4,5 سرعته دستی,47,یورو 5,7.0,شروع تولید,G دستی,موتور M15TC توربو
1400,2021,سایپا,شاهین,بنزین,7.2,13.4,5 سرعته دستی / CVT,47,یورو 5,7.0,تولید,G دستی / CVT,موتور M15TC
1401,2022,سایپا,شاهین,بنزین,7.2,13.4,5 سرعته دستی / CVT,47,یورو 5,7.0,تولید,G دستی / CVT / پلاس,موتور M15TC / ME16
1402,2023,سایپا,شاهین,بنزین,7.2,13.4,5 سرعته دستی / CVT,47,یورو 5,7.0,تولید,G دستی / CVT / پلاس,موتور M15TC / ME16
1403,2024,سایپا,شاهین,بنزین,7.2,13.4,5 سرعته دستی / CVT,47,یورو 5,7.0,تولید,G دستی / CVT / پلاس,موتور M15TC / ME16
1404,2025,سایپا,شاهین,بنزین,7.2,13.4,5 سرعته دستی / CVT,47,یورو 5,7.0,تولید,G دستی / CVT / پلاس,موتور M15TC / ME16
1405,2026,سایپا,شاهین,بنزین,7.2,13.4,5 سرعته دستی / CVT,47,یورو 5,7.0,تولید,G دستی / CVT / پلاس,موتور M15TC / ME16
1402,2023,سایپا,سهند,بنزین,6.9,13.0,5 سرعته دستی,41,یورو 5,6.0,شروع تولید,S / G,موتور M15GSI
1403,2024,سایپا,سهند,بنزین,6.9,13.0,5 سرعته دستی,41,یورو 5,6.0,تولید,S / G,موتور M15GSI
1404,2025,سایپا,سهند,بنزین,6.9,13.0,5 سرعته دستی,41,یورو 5,6.0,تولید,S / G,موتور M15GSI
1405,2026,سایپا,سهند,بنزین,6.9,13.0,5 سرعته دستی,41,یورو 5,6.0,تولید,S / G,موتور M15GSI
1402,2023,سایپا,اطلس,بنزین,6.9,13.0,5 سرعته دستی,41,یورو 5,6.0,شروع تولید,S / G,موتور M15i
1403,2024,سایپا,اطلس,بنزین,6.9,13.0,5 سرعته دستی,41,یورو 5,6.0,تولید,S / G,موتور M15i
1404,2025,سایپا,اطلس,بنزین,6.9,13.0,5 سرعته دستی,41,یورو 5,6.0,تولید,S / G,موتور M15i
1405,2026,سایپا,اطلس,بنزین,6.9,13.0,5 سرعته دستی,41,یورو 5,6.0,تولید,S / G,موتور M15i
1401,2022,کرمان موتور,KMC J7,بنزین,6.0-7.5,8.8,6 سرعته دوکلاچه,55,یورو 5,7.5,شروع تولید,اتوماتیک,1.5 توربو 172 اسب
1402,2023,کرمان موتور,KMC J7,بنزین,6.0-7.5,8.8,6 سرعته دوکلاچه,55,یورو 5,7.5,تولید,اتوماتیک,1.5 توربو 172 اسب
1403,2024,کرمان موتور,KMC J7,بنزین,6.0-7.5,8.8,6 سرعته دوکلاچه,55,یورو 5,7.5,تولید,اتوماتیک,1.5 توربو 172 اسب
1404,2025,کرمان موتور,KMC J7,بنزین,6.0-7.5,8.8,6 سرعته دوکلاچه,55,یورو 5,7.5,تولید,اتوماتیک,1.5 توربو 172 اسب
1405,2026,کرمان موتور,KMC J7,بنزین,6.0-7.5,8.8,6 سرعته دوکلاچه,55,یورو 5,7.5,تولید,اتوماتیک,1.5 توربو 172 اسب
1400,2021,بهمن موتور,فیدلیتی,بنزین,7.6-8.1,10.0-12.0,6 سرعته دوکلاچه,55,یورو 5,7.5,شروع تولید,پرایم / پرستیژ,1.5 توربو 155 اسب
1401,2022,بهمن موتور,فیدلیتی,بنزین,7.6-8.1,10.0-12.0,6 سرعته دوکلاچه,55,یورو 5,7.5,تولید,پرایم / پرستیژ / الیت,1.5 توربو 155 اسب
1402,2023,بهمن موتور,فیدلیتی,بنزین,7.6-8.1,10.0-12.0,6 سرعته دوکلاچه,55,یورو 5,7.5,تولید,پرایم / پرستیژ / الیت,1.5 توربو 155 اسب
1403,2024,بهمن موتور,فیدلیتی,بنزین,7.6-8.1,10.0-12.0,6 سرعته دوکلاچه,55,یورو 5,7.5,تولید,پرایم / پرستیژ / الیت,1.5 توربو 155 اسب
1404,2025,بهمن موتور,فیدلیتی,بنزین,7.6-8.1,10.0-12.0,6 سرعته دوکلاچه,55,یورو 5,7.5,تولید,پرایم / پرستیژ / الیت,1.5 توربو 155 اسب
1405,2026,بهمن موتور,فیدلیتی,بنزین,7.6-8.1,10.0-12.0,6 سرعته دوکلاچه,55,یورو 5,7.5,تولید,پرایم / پرستیژ / الیت,1.5 توربو 155 اسب
1400,2021,بهمن موتور,دیگنیتی,بنزین,7.5,11.0-13.0,CVT,58,یورو 5,7.0,شروع تولید,پرایم,1.5 توربو 148 اسب
